course	title	credits	requirements**
COMP SCI 200			
COMP SCI 202			
COMP SCI 220			
COMP SCI/MATH 240			
COMP SCI/E C E 252			
COMP SCI 270			
COMP SCI 298			
COMP SCI 300			
COMP SCI 304			
COMP SCI 310			
COMP SCI 319			
COMP SCI 320			
COMP SCI 352			
COMP SCI 354			
COMP SCI 368			
COMP SCI 369			
COMP SCI 400			
COMP SCI 402			
COMP SCI/STAT 403			
COMP SCI 407			
COMP SCI 412			
COMP SCI/I SY E/MATH 425			
COMP SCI/E C E/MATH 435			
COMP SCI/STAT 471			
COMP SCI/MATH/STAT 475			
COMP SCI/CURRIC 502			
COMP SCI/E C E 506			
COMP SCI/MATH 513			
COMP SCI/MATH 514			
COMP SCI/DS/I SY E 518			
COMP SCI 520			
COMP SCI/E C E/I SY E 524			
COMP SCI/I SY E/MATH/STAT 525			
COMP SCI/I SY E 526			
COMP SCI/E C E/M E 532			
COMP SCI/E C E 533			
COMP SCI 534			
COMP SCI 536			
COMP SCI 537			
COMP SCI 538			
COMP SCI/E C E/M E 539			
COMP SCI 540			
COMP SCI 542			
COMP SCI 545			
COMP SCI/E C E 552			
COMP SCI/I SY E/M E 558			
COMP SCI 559			
COMP SCI/E C E 561			
COMP SCI 564			
COMP SCI/B M I 567			
COMP SCI 570			
COMP SCI 571			
COMP SCI/B M I 576			
COMP SCI 577			
COMP SCI 578			
COMP SCI/DS 579			
COMP SCI/L I S 611			
COMP SCI/L I S 612			
COMP SCI/L I S 613			
COMP SCI/L I S 614			
COMP SCI/I SY E 635			
COMP SCI 638			
COMP SCI 639			
COMP SCI 640			
COMP SCI 642			
COMP SCI 679			
COMP SCI 681			
COMP SCI 682			
COMP SCI 691			
COMP SCI 692			
